openalex_id,doi,titulo,ano,periodico,source_id,issn,url,acesso_aberto,autores,docentes_ppge,linhas
"https://openalex.org/W7167891787","10.1080/14427591.2026.2690231","“A constellation of ideas and practices”: Social transformation as addressed in occupational science and occupational therapy","2026","Journal of Occupational Science","https://openalex.org/S2765020922","1442-7591","https://doi.org/10.1080/14427591.2026.2690231","fechado","Debbie Laliberté Rudman; Ana Paula Serrata Malfitano; Rebecca M. Aldrich; ́Patrícia Leme de Oliveira Borba; Jaime Daniel Leite; Roseli Esquerdo Lopes; Gail Teachman","Roseli Esquerdo Lopes","HFSE"
"https://openalex.org/W7165786365","10.36311/2236-5192.2026.v27.e026023","""PRA NÃO DIZER QUE NÃO FALEI DAS FLORES""","2026","Educação em Revista","https://openalex.org/S4210228243","1518-7926","https://doi.org/10.36311/2236-5192.2026.v27.e026023","aberto","Klinger Teodoro Ciríaco","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W7133510906","10.37001/remat25269062v25id837","A experiência de um grupo colaborativo com análise de tarefas ligadas ao pensamento algébrico no início da escolarização","2026","Revista de Educação Matemática","https://openalex.org/S4210206594","1676-8868","https://doi.org/10.37001/remat25269062v25id837","aberto","Jocelei Miranda da Silva; Klinger Teodoro Ciríaco","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W7148513119","10.24933/horizontes.v44i1.2189","A tarefa escolar para casa no Ensino Fundamental","2026","Horizontes","https://openalex.org/S4210198334","0103-7706","https://doi.org/10.24933/horizontes.v44i1.2189","aberto","Izabella Anaja Romão de Paula Nunes; Ana Paula Gestoso de Souza","Ana Paula Gestoso de Souza","FPOAE"
"https://openalex.org/W7165619842","10.63595/momento.v35i2.21304","Apresentação EDUCAÇÃO EM PRISÕES: DIREITOS, EXPERIÊNCIAS FORMATIVAS E PRÁTICAS PEDAGÓGICAS","2026","Momento","https://openalex.org/S4210176317","0102-2717","https://doi.org/10.63595/momento.v35i2.21304","aberto","Fernando Fidalgo; Elenice Maria Cammarosano Onofre","Elenice Maria Cammarosano Onofre","EPFH"
"https://openalex.org/W7172386303","10.9771/cgd.v12i2.71196","Ativistas e militantes que são LGBTQIAPN+ nas Jornadas de 2013:","2026","Cadernos de Gênero e Diversidade","https://openalex.org/S4210201251","2525-6904","https://doi.org/10.9771/cgd.v12i2.71196","aberto","Beatriz Nogueira  da Silva; Luís Antônio Groppo; Fernanda Milan de Carvalho; Gislene Da Silva; Yasmin A. da Silva Oliveira","Luís Antonio Groppo","HFSE"
"https://openalex.org/W7135237485","10.1590/es.305009","ATUALIZAÇÃO DAS LUTAS: SISTEMA NACIONAL DE EDUCAÇÃO E OS 30 ANOS DA LEI DE DIRETRIZES E BASES DA EDUCAÇÃO NACIONAL","2026","Educação & Sociedade","https://openalex.org/S2737687728","0101-7330","https://doi.org/10.1590/es.305009","aberto","Salomão Barros Ximenes; Roberto Leher; Ivany Rodrigues Pino; Antônio Alvaro Soares Zuin; Luana Costa Almeida; Ana Maria F. Almeida; Anderson Ricardo Trevisan; Carlos Ernesto Noguera Ramírez; Carmen Sylvia Vidigal Moraes; Claudio Almir Dalbosco; Celso João Ferretti; Débora Mazza; Licínio C. Lima; Nilma Lino Gomes; Pedro Goergen; Romuald Normand; Sandra Maria Zákia Lian Sousa; Xavier Rambla; Vicente Sisto","Luana Costa Almeida","EETPC"
"https://openalex.org/W7169505553","10.5380/atoz.v15.99036","Autores predatórios","2026","AtoZ novas práticas em informação e conhecimento","https://openalex.org/S2738360216","2237-826X","https://doi.org/10.5380/atoz.v15.99036","aberto","María Cristina Piumbato Innocentini Hayashi; José Augusto Chaves Guimarães; Laura Maria Rego-Piva; Amanda Maria dos Santos Silva","Maria Cristina Piumbato Innocentini Hayashi","HFSE"
"https://openalex.org/W7147206540","10.46642/efd.v31i335.8568","Concepções de graduandos(as) de Educação Física sobre docência e escola no Programa Residência Pedagógica","2026","Lecturas: Educación física y deportes","https://openalex.org/S4306518338","1514-3465","https://doi.org/10.46642/efd.v31i335.8568","aberto","Maria Eduarda Rodrigues da Silva Pereira; Eliane Isabel Fabri; Denise Aparecida Corrêa; Fernanda Rossi","Denise Aparecida Correa","PSPE"
"https://openalex.org/W7203789597","10.18542/amazrecm.v22i48.20068","Contribuições dos métodos mistos para a análise de uma formação continuada de professores(as) baseada na Educação Científica Crítica","2026","Amazônia Revista de Educação em Ciências e Matemáticas","https://openalex.org/S4210179992","1980-5128","https://doi.org/10.18542/amazrecm.v22i48.20068","aberto","Nayara Nogueira Soares Marra; Denise de Freitas; Ruan Coelho","Denise de Freitas","ECM"
